Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage (GENUS)	Taxonomic lineage IDs
A0A328W827	A0A328W827_PAELA	unreviewed	Translational regulator CsrA	csrA DP091_18800	Paenibacillus lautus (Bacillus lautus)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus lautus (Bacillus lautus)	Paenibacillus	1401
Q73K67	CSRA_TREDE	reviewed	Translational regulator CsrA	csrA TDE_2355	Treponema denticola (strain ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104)	cellular organisms, Bacteria, Spirochaetes, Spirochaetia, Spirochaetales, Treponemataceae, Treponema, Treponema denticola, Treponema denticola (strain ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104)	Treponema	243275
E0S027	E0S027_BUTPB	unreviewed	Translational regulator CsrA	csrA bpr_I0481	Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Lachnospiraceae, Butyrivibrio, Butyrivibrio proteoclasticus, Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum)	Butyrivibrio	515622
A0A5Q3LC50	A0A5Q3LC50_9BACT	unreviewed	Translational regulator CsrA	csrA PBC10988_37010	Planctomycetales bacterium 10988	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, unclassified Planctomycetales, Planctomycetales bacterium 10988		2603660
A0A0P1L6X3	A0A0P1L6X3_9BACT	unreviewed	Translational regulator CsrA	csrA JGI4_01722	Candidatus Kryptonium thompsoni	cellular organisms, Bacteria, FCB group, Candidatus Kryptonia, Candidatus Kryptonium, Candidatus Kryptonium thompsoni	Candidatus Kryptonium	1633631
I6YXZ5	I6YXZ5_MELRP	unreviewed	Translational regulator CsrA	csrA MROS_2167	Melioribacter roseus (strain JCM 17771 / P3M-2)	cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Ignavibacteriae, Ignavibacteria, Ignavibacteriales, Melioribacteraceae, Melioribacter, Melioribacter roseus, Melioribacter roseus (strain JCM 17771 / P3M-2)	Melioribacter	1191523
A0A1I3RMV8	A0A1I3RMV8_9PLAN	unreviewed	Translational regulator CsrA	csrA SAMN05421753_12127	Planctomicrobium piriforme	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctomicrobium, Planctomicrobium piriforme	Planctomicrobium	1576369
A0A1E3X9L0	A0A1E3X9L0_9BACT	unreviewed	Translational regulator CsrA	csrA SCARUB_02618	Candidatus Scalindua rubra	cellular organisms, Bacteria, PVC group, Planctomycetes, Candidatus Brocadiae, Candidatus Brocadiales, Candidatus Brocadiaceae, Candidatus Scalindua, Candidatus Scalindua rubra	Candidatus Scalindua	1872076
Q6AJR0	CSRA_DESPS	reviewed	Translational regulator CsrA	csrA DP2691	Desulfotalea psychrophila (strain LSv54 / DSM 12343)	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfotalea, Desulfotalea psychrophila, Desulfotalea psychrophila (strain LSv54 / DSM 12343)	Desulfotalea	177439
A0A1M4X208	A0A1M4X208_9FIRM	unreviewed	Translational regulator CsrA	csrA SAMN02745784_02074	Tissierella praeacuta DSM 18095	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Tissierellia, Tissierellales, Tissierellaceae, Tissierella, Tissierella praeacuta, Tissierella praeacuta DSM 18095	Tissierella	1123404
A0A1I3Q3Y8	A0A1I3Q3Y8_9ACTN	unreviewed	Translational regulator CsrA	csrA SAMN05216561_12321	Nocardioides psychrotolerans	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Propionibacteriales, Nocardioidaceae, Nocardioides, Nocardioides psychrotolerans	Nocardioides	1005945
A0A358ASN5	A0A358ASN5_9FIRM	unreviewed	Translational regulator CsrA	csrA DEB31_07025	Clostridiales bacterium	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, unclassified Eubacteriales, Clostridiales bacterium		1898207
C0Z6W4	CSRA_BREBN	reviewed	Translational regulator CsrA	csrA BBR47_53360	Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Brevibacillus, Brevibacillus brevis (Bacillus brevis), Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599)	Brevibacillus	358681
A0A1W1XG01	A0A1W1XG01_9DELT	unreviewed	Translational regulator CsrA	csrA SAMN02746041_01445	Desulfacinum hydrothermale DSM 13146	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Syntrophobacterales, Syntrophobacteraceae, Desulfacinum, Desulfacinum hydrothermale, Desulfacinum hydrothermale DSM 13146	Desulfacinum	1121390
A0A1G6Q115	A0A1G6Q115_9MICO	unreviewed	Translational regulator CsrA	csrA SAMN05216410_2397	Sanguibacter gelidistatuariae	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Sanguibacteraceae, Sanguibacter, Sanguibacter gelidistatuariae	Sanguibacter	1814289
A0A2D7VJP4	A0A2D7VJP4_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA CL386_02890	Acidiferrobacter sp.	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Acidiferrobacterales, Acidiferrobacteraceae, Acidiferrobacter, unclassified Acidiferrobacter, Acidiferrobacter sp.	Acidiferrobacter	1872107
F9DQ97	F9DQ97_9BACL	unreviewed	Translational regulator CsrA	csrA HMPREF9372_0977	Sporosarcina newyorkensis 2681	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Planococcaceae, Sporosarcina, Sporosarcina newyorkensis, Sporosarcina newyorkensis 2681	Sporosarcina	1027292
A0A5E6Y8V8	A0A5E6Y8V8_PSEFL	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA1_1 csrA PS685_00118	Pseudomonas fluorescens	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas fluorescens	Pseudomonas	294
A0A143GKN6	A0A143GKN6_9PSED	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA AK972_4015 HX813_10590 SAMN05216237_1312	Pseudomonas yamanorum	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas yamanorum	Pseudomonas	515393
A0A6L9EIQ9	A0A6L9EIQ9_CLOBU	unreviewed	Translational regulator CsrA	csrA GND98_000945	Clostridium butyricum	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium butyricum	Clostridium	1492
D2R8S2	D2R8S2_PIRSD	unreviewed	Translational regulator CsrA	csrA Psta_2948	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Pirellulales, Pirellulaceae, Pirellula, Pirellula staleyi, Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	Pirellula	530564
A0A0G9L8P3	A0A0G9L8P3_9CLOT	unreviewed	Translational regulator CsrA	csrA AAT22_13605	Clostridium sp. C8	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, unclassified Clostridium, Clostridium sp. C8	Clostridium	1667357
Q97H06	CSRA_CLOAB	reviewed	Translational regulator CsrA	csrA CA_C2209	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium acetobutylicum, Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	Clostridium	272562
A0A1H2DSG3	A0A1H2DSG3_9DELT	unreviewed	Translational regulator CsrA	csrA SAMN04487931_10278	Desulfobacula phenolica	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfobacterales, Desulfobacteraceae, Desulfobacula, Desulfobacula phenolica	Desulfobacula	90732
A0A0F2PBS9	A0A0F2PBS9_9FIRM	unreviewed	Translational regulator CsrA	csrA VR67_16370	Peptococcaceae bacterium BRH_c8a	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptococcaceae, unclassified Peptococcaceae, Peptococcaceae bacterium BRH_c8a		1629715
D1C180	D1C180_SPHTD	unreviewed	Translational regulator CsrA	csrA Sthe_0559	Sphaerobacter thermophilus (strain DSM 20745 / S 6022)	cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Thermomicrobia, Sphaerobacteridae, Sphaerobacterales, Sphaerobacterineae, Sphaerobacteraceae, Sphaerobacter, Sphaerobacter thermophilus, Sphaerobacter thermophilus (strain DSM 20745 / S 6022)	Sphaerobacter	479434
A0A1U7CK53	A0A1U7CK53_9BACT	unreviewed	Translational regulator CsrA	csrA BSF38_00727	Paludisphaera borealis	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Paludisphaera, Paludisphaera borealis	Paludisphaera	1387353
A0A1S2ITB8	A0A1S2ITB8_9MICO	unreviewed	Translational regulator CsrA	csrA BIU98_02440	Curtobacterium sp. MMLR14_010	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Microbacteriaceae, Curtobacterium, unclassified Curtobacterium, Curtobacterium sp. MMLR14_010	Curtobacterium	1898743
Q9WY93	CSRA_THEMA	reviewed	Translational regulator CsrA	csrA TM_0251	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	cellular organisms, Bacteria, Thermotogae, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga, Thermotoga maritima, Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	Thermotoga	243274
B8CYT9	CSRA_HALOH	reviewed	Translational regulator CsrA	csrA Hore_17090	Halothermothrix orenii (strain H 168 / OCM 544 / DSM 9562)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Halanaerobiales, Halanaerobiaceae, Halothermothrix, Halothermothrix orenii, Halothermothrix orenii (strain H 168 / OCM 544 / DSM 9562)	Halothermothrix	373903
A0A174NZ75	A0A174NZ75_9FIRM	unreviewed	Translational regulator CsrA	csrA_1 csrA B5F11_04975 DXC40_03930 ERS852551_01023	Anaerotruncus colihominis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, Anaerotruncus, Anaerotruncus colihominis	Anaerotruncus	169435
A0A151B4S6	A0A151B4S6_9CLOT	unreviewed	Translational regulator CsrA	csrA CLTEP_12650	Clostridium tepidiprofundi DSM 19306	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium tepidiprofundi, Clostridium tepidiprofundi DSM 19306	Clostridium	1121338
A0A517PSE6	A0A517PSE6_9PLAN	unreviewed	Translational regulator CsrA	csrA_2 csrA csrA_3 FYZ48_22555 HG66A1_40990 V6x_40350	Gimesia chilikensis	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Gimesia, Gimesia chilikensis	Gimesia	2605989
A0A2U8DLQ5	A0A2U8DLQ5_9CLOT	unreviewed	Translational regulator CsrA	csrA B9W14_03935	Clostridium drakei	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium drakei	Clostridium	332101
A0A1B9BGJ2	A0A1B9BGJ2_CLOBE	unreviewed	Translational regulator CsrA	csrA BGS1_06025	Clostridium beijerinckii (Clostridium MP)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium beijerinckii (Clostridium MP)	Clostridium	1520
A0A540VQN6	A0A540VQN6_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA FKY71_10470	Spiribacter salinus	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae (purple sulfur bacteria), Spiribacter, Spiribacter salinus	Spiribacter	1335746
A0A3E0Q5H4	A0A3E0Q5H4_9BACT	unreviewed	Translational regulator CsrA	csrA DWQ41_07500	Planctomycetes bacterium	cellular organisms, Bacteria, PVC group, Planctomycetes, unclassified Planctomycetes, Planctomycetes bacterium		2026780
A0A1M6CDH9	A0A1M6CDH9_9CLOT	unreviewed	Translational regulator CsrA	csrA SAMN05444401_1082	Clostridium amylolyticum	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium amylolyticum	Clostridium	1121298
A0A0A0M9H7	A0A0A0M9H7_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA N791_13315	Lysobacter defluvii IMMIB APB-9 = DSM 18482	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter, Lysobacter defluvii, Lysobacter defluvii IMMIB APB-9 = DSM 18482	Lysobacter	1385515
A0A1Z8SAA2	A0A1Z8SAA2_9FLAO	unreviewed	Translational regulator CsrA	csrA CBC08_07835	Flavobacteriaceae bacterium TMED48	cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, unclassified Flavobacteriaceae, Flavobacteriaceae bacterium TMED48		1986717
A0A3P1Y4X1	A0A3P1Y4X1_9BACT	unreviewed	Translational regulator CsrA	csrA EII26_03060	Fretibacterium sp. OH1220_COT-178	cellular organisms, Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Fretibacterium, unclassified Fretibacterium, Fretibacterium sp. OH1220_COT-178	Fretibacterium	2491047
A0A1I2GQB7	A0A1I2GQB7_9MICO	unreviewed	Translational regulator CsrA	csrA SAMN04488035_1874	Flavimobilis marinus	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Jonesiaceae, Flavimobilis, Flavimobilis marinus	Flavimobilis	285351
A0A1M5IDR4	A0A1M5IDR4_9ACTN	unreviewed	Translational regulator CsrA	csrA SAMN05443575_1859	Jatrophihabitans endophyticus	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Jatrophihabitantales, Jatrophihabitantaceae, Jatrophihabitans, Jatrophihabitans endophyticus	Jatrophihabitans	1206085
A0A1M5W6I7	A0A1M5W6I7_9FIRM	unreviewed	Translational regulator CsrA	csrA SAMN02745823_01091	Sporobacter termitidis DSM 10068	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, Sporobacter, Sporobacter termitidis, Sporobacter termitidis DSM 10068	Sporobacter	1123282
A0A518HCQ0	A0A518HCQ0_9BACT	unreviewed	Translational regulator CsrA	csrA_3 csrA ElP_65820	Tautonia plasticadhaerens	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Tautonia, Tautonia plasticadhaerens	Tautonia	2527974
A0A6I1L659	A0A6I1L659_PSESP	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA1 csrA GAK37_02747	Pseudomonas sp.	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, unclassified Pseudomonas, Pseudomonas sp.	Pseudomonas	306
A0A518GHU2	A0A518GHU2_9PLAN	unreviewed	Translational regulator CsrA	csrA_1 csrA Spb1_00190	Planctopirus ephydatiae	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctopirus, Planctopirus ephydatiae	Planctopirus	2528019
A0A3E0NAP8	A0A3E0NAP8_9BACT	unreviewed	Translational regulator CsrA	csrA DWQ31_06225	Planctomycetes bacterium	cellular organisms, Bacteria, PVC group, Planctomycetes, unclassified Planctomycetes, Planctomycetes bacterium		2026780
F3MFD2	F3MFD2_9BACL	unreviewed	Translational regulator CsrA	csrA HMPREF9412_1037	Paenibacillus sp. HGF5	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, unclassified Paenibacillus, Paenibacillus sp. HGF5	Paenibacillus	908341
A0A5E7RT30	A0A5E7RT30_PSEFL	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA1_1 csrA PS918_01965	Pseudomonas fluorescens	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas fluorescens	Pseudomonas	294
Q39YJ1	CSRA_GEOMG	reviewed	Translational regulator CsrA	csrA Gmet_0440	Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter, Geobacter metallireducens, Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)	Geobacter	269799
F4LX32	F4LX32_TEPAE	unreviewed	Translational regulator CsrA	csrA TEPIRE1_0899	Tepidanaerobacter acetatoxydans (strain DSM 21804 / JCM 16047 / Re1)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermosediminibacterales, Tepidanaerobacteraceae, Tepidanaerobacter, Tepidanaerobacter acetatoxydans, Tepidanaerobacter acetatoxydans (strain DSM 21804 / JCM 16047 / Re1)	Tepidanaerobacter	1209989
Q31F93	CSRA_HYDCU	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA Tcr_1588	Hydrogenovibrio crunogenus (strain DSM 25203 / XCL-2) (Thiomicrospira crunogena)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Piscirickettsiaceae, Hydrogenovibrio, Hydrogenovibrio crunogenus, Hydrogenovibrio crunogenus (strain DSM 25203 / XCL-2) (Thiomicrospira crunogena)	Hydrogenovibrio	317025
A0A017RVG9	A0A017RVG9_9CLOT	unreviewed	Translational regulator CsrA	csrA Q428_05880	Fervidicella metallireducens AeB	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Fervidicella, Fervidicella metallireducens, Fervidicella metallireducens AeB	Fervidicella	1403537
A0A2Z2NKI0	A0A2Z2NKI0_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_2 csrA IMCC3135_08585	Granulosicoccus antarcticus IMCC3135	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Granulosicoccaceae, Granulosicoccus, Granulosicoccus antarcticus, Granulosicoccus antarcticus IMCC3135	Granulosicoccus	1192854
A0A7C4UDP8	A0A7C4UDP8_9BACT	unreviewed	Translational regulator CsrA	csrA ENR53_07105	Gemmataceae bacterium	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, unclassified Gemmataceae, Gemmataceae bacterium		2052164
I4BUK5	I4BUK5_ACEMN	unreviewed	Translational regulator CsrA	csrA Anamo_0305	Acetomicrobium mobile (strain ATCC BAA-54 / DSM 13181 / JCM 12221 / NGA) (Acetomicrobium mobile)	cellular organisms, Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Acetomicrobium, Acetomicrobium mobile, Acetomicrobium mobile (strain ATCC BAA-54 / DSM 13181 / JCM 12221 / NGA) (Acetomicrobium mobile)	Acetomicrobium	891968
A0A089J0U7	A0A089J0U7_PAEDU	unreviewed	Translational regulator CsrA	csrA PDUR_25250	Paenibacillus durus (Paenibacillus azotofixans)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus durus (Paenibacillus azotofixans)	Paenibacillus	44251
A0A1V3NGY6	A0A1V3NGY6_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA B1C78_09005	Thioalkalivibrio denitrificans	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae (purple sulfur bacteria), Thioalkalivibrio, Thioalkalivibrio denitrificans	Thioalkalivibrio	108003
A0LT42	A0LT42_ACIC1	unreviewed	Translational regulator CsrA	csrA Acel_0829	Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B)	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Acidothermales, Acidothermaceae, Acidothermus, Acidothermus cellulolyticus, Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B)	Acidothermus	351607
A0A2G6M3M3	A0A2G6M3M3_9BACT	unreviewed	Translational regulator CsrA	csrA CSA35_04765	Dethiosulfovibrio peptidovorans	cellular organisms, Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Dethiosulfovibrio, Dethiosulfovibrio peptidovorans	Dethiosulfovibrio	47055
A0A0B0ELE0	A0A0B0ELE0_9BACT	unreviewed	Translational regulator CsrA	csrA SCABRO_02725	Candidatus Scalindua brodae	cellular organisms, Bacteria, PVC group, Planctomycetes, Candidatus Brocadiae, Candidatus Brocadiales, Candidatus Brocadiaceae, Candidatus Scalindua, Candidatus Scalindua brodae	Candidatus Scalindua	237368
L0DBY4	L0DBY4_SINAD	unreviewed	Translational regulator CsrA	csrA Sinac_2566	Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Singulisphaera, Singulisphaera acidiphila, Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10)	Singulisphaera	886293
R9L8X7	R9L8X7_9FIRM	unreviewed	Translational regulator CsrA	csrA C814_03287	Anaerotruncus sp. G3(2012)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, Anaerotruncus, unclassified Anaerotruncus, Anaerotruncus sp. G3(2012)	Anaerotruncus	1235835
A5EWA3	CSRA_DICNV	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA DNO_0284	Dichelobacter nodosus (strain VCS1703A)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cardiobacteriales, Cardiobacteriaceae, Dichelobacter, Dichelobacter nodosus (Bacteroides nodosus), Dichelobacter nodosus (strain VCS1703A)	Dichelobacter	246195
A6G093	A6G093_9DELT	unreviewed	Translational regulator CsrA	csrA PPSIR1_12943	Plesiocystis pacifica SIR-1	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Myxococcales (fruiting gliding bacteria), Nannocystineae, Nannocystaceae, Plesiocystis, Plesiocystis pacifica, Plesiocystis pacifica SIR-1	Plesiocystis	391625
D8PFJ7	D8PFJ7_9BACT	unreviewed	Translational regulator CsrA	csrA NIDE2321	Nitrospira defluvii	cellular organisms, Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Nitrospira, Nitrospira defluvii	Nitrospira	330214
U7DEL0	U7DEL0_9BACT	unreviewed	Translational regulator CsrA	csrA CALK_0171	Chitinivibrio alkaliphilus ACht1	cellular organisms, Bacteria, FCB group, Fibrobacteres, Chitinivibrionia, Chitinivibrionales, Chitinivibrionaceae, Chitinivibrio, Chitinivibrio alkaliphilus, Chitinivibrio alkaliphilus ACht1	Chitinivibrio	1313304
I0AMK0	I0AMK0_IGNAJ	unreviewed	Translational regulator CsrA	csrA IALB_2504	Ignavibacterium album (strain DSM 19864 / JCM 16511 / NBRC 101810 / Mat9-16)	cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Ignavibacteriae, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Ignavibacterium, Ignavibacterium album, Ignavibacterium album (strain DSM 19864 / JCM 16511 / NBRC 101810 / Mat9-16)	Ignavibacterium	945713
A0A4R4EFI0	A0A4R4EFI0_9BACL	unreviewed	Translational regulator CsrA	csrA E0485_12750	Paenibacillus sp. 18JY21-1	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, unclassified Paenibacillus, Paenibacillus sp. 18JY21-1	Paenibacillus	2545760
A0A0B6WVY8	A0A0B6WVY8_9BACT	unreviewed	Translational regulator CsrA	csrA PYK22_00912	Pyrinomonas methylaliphatogenes	cellular organisms, Bacteria, Acidobacteria, Blastocatellia, Blastocatellales, Pyrinomonadaceae, Pyrinomonas, Pyrinomonas methylaliphatogenes	Pyrinomonas	454194
A0A1H2GY43	A0A1H2GY43_9BACT	unreviewed	Translational regulator CsrA	csrA SAMN05444156_2829	Verrucomicrobium sp. GAS474	cellular organisms, Bacteria, PVC group, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Verrucomicrobiaceae, Verrucomicrobium, unclassified Verrucomicrobium, Verrucomicrobium sp. GAS474	Verrucomicrobium	1882831
G7V5X2	G7V5X2_THELD	unreviewed	Translational regulator CsrA	csrA Tlie_0131	Thermovirga lienii (strain ATCC BAA-1197 / DSM 17291 / Cas60314)	cellular organisms, Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Thermovirga, Thermovirga lienii, Thermovirga lienii (strain ATCC BAA-1197 / DSM 17291 / Cas60314)	Thermovirga	580340
A0A3Q8X2X1	A0A3Q8X2X1_9BACL	unreviewed	Translational regulator CsrA	csrA EJC50_01685	Paenibacillus albus	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus albus	Paenibacillus	2495582
D9TRY9	D9TRY9_THETC	unreviewed	Translational regulator CsrA	csrA Tthe_2191	Thermoanaerobacterium thermosaccharolyticum (strain ATCC 7956 / DSM 571 / NCIMB 9385 / NCA 3814 / NCTC 13789 / WDCM 00135 / 2032) (Clostridium thermosaccharolyticum)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Thermoanaerobacterium, Thermoanaerobacterium thermosaccharolyticum (Clostridium thermosaccharolyticum), Thermoanaerobacterium thermosaccharolyticum (strain ATCC 7956 / DSM 571 / NCIMB 9385 / NCA 3814 / NCTC 13789 / WDCM 00135 / 2032) (Clostridium thermosaccharolyticum)	Thermoanaerobacterium	580327
F7YYV4	F7YYV4_9THEM	unreviewed	Translational regulator CsrA	csrA Theth_1067	Pseudothermotoga thermarum DSM 5069	cellular organisms, Bacteria, Thermotogae, Thermotogae, Thermotogales, Thermotogaceae, Pseudothermotoga, Pseudothermotoga thermarum, Pseudothermotoga thermarum DSM 5069	Pseudothermotoga	688269
